1.6420	0.2322	0.0897
1.8130	0.1511	0.1845
1.9220	2.4020	0.2088
1.8660	1.5380	0.2484
1.9380	2.9520	0.2511
1.7850	0.9923	0.2659
1.9590	0.4762	0.2518
1.8790	3.7550	0.3023
1.9250	0.9358	0.2112
1.9000	3.5240	0.2423
1.4190	2.1210	-0.0475
2.1300	1.2280	0.2725
1.9920	3.7580	0.1927
2.0250	4.6650	0.2463
1.8970	4.8310	0.2247
1.9510	0.5867	0.2283
1.9630	2.3720	0.1519
1.7670	0.0947	0.1577
2.1450	1.6750	0.2350
1.8160	1.2450	0.2432
1.3870	0.3877	0.0100
1.7070	1.5570	0.2822
1.8900	2.0320	0.2649
1.9570	2.3930	0.2417
1.8970	1.0390	0.2575
2.0260	0.9122	0.2433
1.9230	3.0740	0.2668
1.8550	2.6800	0.2619
1.9800	0.3916	0.2558
1.9150	0.2579	0.2319
1.8130	4.3630	0.2334
1.9170	2.1760	0.2968
1.7320	3.9640	0.1930
1.8260	1.4820	0.1782
1.1960	0.6584	-0.0082
1.9680	3.1070	0.2652
1.9000	2.1770	0.3203
2.0200	1.2450	0.2794
1.9260	1.9410	0.2969
2.0870	1.5360	0.2969
2.0950	4.0530	0.2297
1.5300	0.8998	-0.0072
1.9700	1.7960	0.1746
1.9660	1.1490	0.2085
1.9440	4.8220	0.1989
2.0460	2.7130	0.2457
2.1190	0.8413	0.2566
1.9910	2.5280	0.2393
1.9070	2.2140	0.2433
1.9070	0.4789	0.2431
1.8560	0.1062	0.2519
1.9150	4.4230	0.2060
1.9460	0.3409	0.1780
1.8440	0.3654	0.2523
1.8800	1.4230	0.2185
1.9430	2.8020	0.2072
1.9890	3.8410	0.1783
2.0890	2.1940	0.2581
2.0780	2.6780	0.2144
2.1610	2.4450	0.3005
1.8160	0.8962	0.2340
1.9400	1.5360	0.0917
2.0210	3.3550	0.0041
1.6100	0.3310	0.0410
1.9870	3.1470	-0.0086
1.7300	3.1230	0.2711
1.7630	2.4040	0.2149
1.7150	0.5544	0.1645
1.4000	0.6274	0.0431
1.6460	1.0320	0.1338
1.6610	1.1700	0.1171
1.3650	0.2242	-0.0408
1.8610	1.5910	0.2558
1.8110	3.5790	0.1945
1.7300	2.3730	0.2869
1.7630	2.7920	0.2903
1.7920	2.6480	0.2793
1.8310	2.2830	0.2615
1.8450	1.9580	0.2728
1.8180	0.4080	0.2501
1.8790	1.2830	0.2399
1.8180	1.9230	0.2533
1.9370	2.5180	0.2318
1.9230	1.8660	0.2281
1.9670	0.6543	0.2374
2.0400	1.0170	0.2409
1.9020	2.0970	0.2364
1.9050	1.8910	0.2565
1.8780	1.8080	0.2574
1.9090	0.8276	0.2616
1.9040	3.9580	0.2612
1.9360	0.9642	0.2466
1.9610	1.9810	0.2372
1.9070	0.6897	0.2340
1.8900	1.3800	0.2632
1.8520	2.4070	0.2597
1.9250	2.5200	0.2634
1.9040	2.7880	0.2239
1.8630	3.9100	0.2593
1.8580	2.0520	0.2627
1.9060	1.3970	0.2622
1.9260	4.2750	0.2613
1.9660	3.0030	0.2664
1.8750	1.3830	0.1993
1.8600	2.5310	0.2430
1.9870	0.3907	0.2730
1.9510	2.6390	0.2521
1.8380	4.7210	0.1653
1.8930	2.7050	0.1670
1.9090	2.9230	0.2221
1.9960	0.6205	0.2699
1.9350	1.2570	0.2643
1.9020	3.1290	0.2834
1.9620	1.3840	0.3064
1.9500	1.5590	0.2913
1.8660	2.8530	0.2756
1.9100	0.9540	0.2313
1.8770	1.3130	0.2875
1.8090	0.4129	0.2303
1.5160	0.3160	0.1226
1.5310	0.6987	0.0942
1.1790	0.7556	0.0286
1.8650	4.4890	0.1922
1.7460	2.6040	0.1788
1.5990	0.4505	0.1091
1.8100	0.2342	0.1610
1.5520	0.7906	0.0648
1.9630	3.0130	0.2211
1.8910	4.3600	0.2412
1.9080	0.4570	0.2138
